Ciudad,Pais
Valencia,Ecuador
Catacupamba,Ecuador
Atuntaqui,Ecuador
"Santa Clara",Ecuador
Atalpamba,Ecuador
Elena,Ecuador
Macará,Ecuador
"El Ángel",Ecuador
Llulluchas,Ecuador
Kabala,Estonia
Haaslava,Estonia
"Kooraste Asundus",Estonia
Sammaste,Estonia
Vabriku,Estonia
Haiba,Estonia
Lehetu,Estonia
Tänassilma,Estonia
Surju,Estonia
Tõrva,Estonia
Tõravere,Estonia
Osmussaare,Estonia
Osula,Estonia
Allika,Estonia
Kõue,Estonia
Tõstamaa,Estonia
Jõesuu,Estonia
Rajaküla,Estonia
Alavere,Estonia
Liivi,Estonia
Disuq,Egypt
"Ra's Gharib",Egypt
Assiout,Egypt
Qena,Egypt
Dessouk,Egypt
Aswan,Egypt
"Al Hawamidiyah",Egypt
"El Balyana",Egypt
"El-mahalla El-kubra",Egypt
Halwan,Egypt
Idku,Egypt
"El Agami",Egypt
Menouf,Egypt
Tima,Egypt
Misheirif,Egypt
Alessandria,Egypt
"`ezbet Sharikât Wardan",Egypt
Shâwa,Egypt
Mashtul,Egypt
Girga,Egypt
"Bir Gandús","Western Sahara"
Massawa,Eritrea
Asmara,Eritrea
Dekemhare,Eritrea
Mendefera,Eritrea
"Addi Ugri",Eritrea
Ts'egwaro,Eritrea
Bisha,Eritrea
"Adi Ar`ada",Eritrea
Burjasot,Spain
"Cervera De Los Montes",Spain
"Sotillo De La Ribera",Spain
"San Vicente De La Barquera",Spain
Casasbuenas,Spain
Astigarraga,Spain
Secadura,Spain
Rialp,Spain
Alfarrasi,Spain
Dicastillo,Spain
Vales,Spain
Muez,Spain
Aliseda,Spain
Bearín,Spain
Cervo,Spain
"Herrera De Los Navarros",Spain
Fortaleny,Spain
"Montbrió De La Marca",Spain
"Los Palacios Y Villafranca",Spain
Nueno,Spain
"Addis Abeba",Ethiopia
Nekempt,Ethiopia
"Hagere Hiywet",Ethiopia
Adama,Ethiopia
Nekempte,Ethiopia
"Debre Birhan",Ethiopia
"Addis Ababa",Ethiopia
Mersa,Ethiopia
